--[[
	--propability概率，概率的数字越大的话掉的物品的概率越高
	--group是分组的id，类似怪物的爆率的配置, group为0，必出；相同group的按propability出一个
--]]
drops=
{
{ group = 0, type = 0, id = 199, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 200, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex= 0,strong = 12},
{ group = 0, type = 0, id = 201, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex= 1,strong = 12},
{ group = 0, type = 0, id = 202, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 203, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 204, count = 2, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 205, count = 2, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 206, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},
{ group = 0, type = 0, id = 207, count = 1, bind = 0, propability=1, broadcast=0, job=1,sex=-1,strong = 12},

{ group = 0, type = 0, id = 208, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 209, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex= 0,strong = 12},
{ group = 0, type = 0, id = 210, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex= 1,strong = 12},
{ group = 0, type = 0, id = 211, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 212, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 213, count = 2, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 214, count = 2, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 215, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},
{ group = 0, type = 0, id = 216, count = 1, bind = 0, propability=1, broadcast=0, job=2,sex=-1,strong = 12},

{ group = 0, type = 0, id = 217, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 218, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex= 0,strong = 12},
{ group = 0, type = 0, id = 219, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex= 1,strong = 12},
{ group = 0, type = 0, id = 220, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 221, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 222, count = 2, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 223, count = 2, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 224, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
{ group = 0, type = 0, id = 225, count = 1, bind = 0, propability=1, broadcast=0, job=3,sex=-1,strong = 12},
}
