{ group = 0, type = 3, id = 67, propability = 1, count = 20000 },
{ group = 0, type = 0, id = 1156, propability = 1, count = 8 },
{ group = 0, type = 0, id = 1093, propability = 1, count = 50 },
{ group = 0, type = 0, id = 1094, propability = 1, count = 10 },
{ group = 0, type = 0, id = 1290, propability = 1, count = 3 },
{ group = 1, type = 0, id = 94, propability = 5556, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 95, propability = 11112, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 96, propability = 16668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 97, propability = 22224, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 98, propability = 27780, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 99, propability = 33336, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 103, propability = 38892, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 104, propability = 44448, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 105, propability = 50004, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 106, propability = 55560, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 107, propability = 61116, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 108, propability = 66672, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 112, propability = 72228, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 113, propability = 77784, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 114, propability = 83340, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 115, propability = 88896, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 116, propability = 94452, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 117, propability = 100000, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 94, propability = 5556, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 95, propability = 11112, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 96, propability = 16668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 97, propability = 22224, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 98, propability = 27780, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 99, propability = 33336, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 103, propability = 38892, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 104, propability = 44448, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 105, propability = 50004, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 106, propability = 55560, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 107, propability = 61116, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 108, propability = 66672, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 112, propability = 72228, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 113, propability = 77784, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 114, propability = 83340, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 115, propability = 88896, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 116, propability = 94452, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 2, type = 0, id = 117, propability = 100000, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 3, type = 0, id = 94, propability = 5556, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 95, propability = 11112, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 96, propability = 16668, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 97, propability = 22224, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 98, propability = 27780, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 99, propability = 33336, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 103, propability = 38892, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 104, propability = 44448, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 105, propability = 50004, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 106, propability = 55560, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 107, propability = 61116, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 108, propability = 66672, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 112, propability = 72228, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 113, propability = 77784, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 114, propability = 83340, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 115, propability = 88896, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 116, propability = 94452, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 3, type = 0, id = 117, propability = 100000, count = 1, growLv = 1, growLvMax = 1000 },
{ group = 4, type = 0, id = 121, propability = 3607, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 122, propability = 7214, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 123, propability = 10821, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 124, propability = 14428, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 125, propability = 18035, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 126, propability = 21642, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 130, propability = 25249, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 131, propability = 28856, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 132, propability = 32463, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 133, propability = 36070, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 134, propability = 39677, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 135, propability = 43284, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 139, propability = 46891, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 140, propability = 50498, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 141, propability = 54105, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 142, propability = 57712, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 143, propability = 61319, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 144, propability = 64926, count = 1, growLv = 3, growLvMax = 1000 },
{ group = 4, type = 0, id = 148, propability = 66593, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 149, propability = 68260, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 150, propability = 69927, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 151, propability = 71594, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 152, propability = 73261, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 153, propability = 74928, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 157, propability = 76595, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 158, propability = 78262, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 159, propability = 79929, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 160, propability = 81596, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 161, propability = 83263, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 162, propability = 84930, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 166, propability = 86597, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 167, propability = 88264, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 168, propability = 89931, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 169, propability = 91598, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 170, propability = 93265, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 171, propability = 94932, count = 1, growLv = 7, growLvMax = 1000 },
{ group = 4, type = 0, id = 202, propability = 95154, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 203, propability = 95376, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 204, propability = 95598, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 205, propability = 95820, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 206, propability = 96042, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 207, propability = 96264, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 211, propability = 96486, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 212, propability = 96708, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 213, propability = 96930, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 214, propability = 97152, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 215, propability = 97374, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 216, propability = 97596, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 220, propability = 97818, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 221, propability = 98040, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 222, propability = 98262, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 223, propability = 98484, count = 1, growLv = 0, growLvMax = 1000 },
