{ group = 1, type = 0, id = 64, propability = 778, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 65, propability = 1556, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 66, propability = 2334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 67, propability = 3334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 68, propability = 4334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 69, propability = 5334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 70, propability = 6334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 71, propability = 7334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 72, propability = 8334, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 73, propability = 9112, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 74, propability = 9890, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 75, propability = 10668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 76, propability = 11668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 77, propability = 12668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 78, propability = 13668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 79, propability = 14668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 80, propability = 15668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 81, propability = 16668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 82, propability = 17446, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 83, propability = 18224, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 84, propability = 19002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 85, propability = 20002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 86, propability = 21002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 87, propability = 22002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 88, propability = 23002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 89, propability = 24002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 90, propability = 25002, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 91, propability = 28835, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 92, propability = 32668, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 93, propability = 36501, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 94, propability = 38751, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 95, propability = 41001, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 96, propability = 43251, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 97, propability = 45501, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 98, propability = 47751, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 99, propability = 50001, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 100, propability = 53834, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 101, propability = 57667, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 102, propability = 61500, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 103, propability = 63750, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 104, propability = 66000, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 105, propability = 68250, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 106, propability = 70500, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 107, propability = 72750, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 108, propability = 75000, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 109, propability = 78833, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 110, propability = 82666, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 111, propability = 86499, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 112, propability = 88749, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 113, propability = 90999, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 114, propability = 93249, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 115, propability = 95499, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 116, propability = 97749, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 1, type = 0, id = 117, propability = 99999, count = 1, growLv = 0, growLvMax = 1000 },
